year,st,stateno,state,state_fips,state_icpsr,exp_public_welfare,welfare_spending_percap,unemployment,statemin,employed,unemployed,afdc_case,afdc_rep,afdccases_childonly,marginallyfoodinsecure,foodinsecure,verylowfoodsecure,foodstamp_case,foodstamp_rep,nslp_free,nslp_reduced,nslp_total,sbp_free,sbp_reduced,sbp_total,povrate,ssirecipients_aged,ssirecipients_blind,ssirecipients_disabled,ssirecipients_total,ssistate,ssitotal,stateeitcrate,wicparticipation,workerscompensation,apwpi,apwpia,apwspt,ig_welf,policypriorityscore,pro_welfare,anti_welfare,neutral_welfare,lowincchildren_number,mothersaid,adc,aidperm,blind,oldagea,timelim,afdc_up,medicaid_stateadoption,x_chip_children,x_chip_infants,x_chip_pregnantwomen,x_chip_pregntwomen_prebba,z_ssi_afdc_families_payments,z_ssi_blind_payments,z_ssi_blind_payments_post1965,z_ssi_disabled_payments,z_ssi_disabled_payments_post1965,z_ssi_ga_payments_per_case,z_ssi_ga_payments_per_recipient,z_ssi_old_age_payments,z_ssi_old_age_payments_post1965,z_tanf_initialelig,z_tanf_maxpayment,z_tanf_paymentsperfamily
1970,MA,21,Massachusetts,25,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1301.43,NA,754.461,NA,647.964,NA,311.262,NA,494.827,NA,NA,NA
1970,MI,22,Michigan,26,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1275.32,NA,595.025,NA,598.688,NA,286.807,NA,441.198,NA,NA,NA
1970,MN,23,Minnesota,27,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1270.88,NA,515.494,NA,358.193,NA,226.07,NA,390.953,NA,NA,NA
1970,MS,24,Mississippi,28,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,326.333,NA,416.9,NA,410.984,NA,106.835,NA,352.172,NA,NA,NA
1970,MO,25,Missouri,29,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,641.576,NA,517.898,NA,437.569,NA,325.56,NA,430.781,NA,NA,NA
1970,MT,26,Montana,30,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,914.723,NA,530.787,NA,515.671,NA,110.379,NA,385.612,NA,NA,NA
1970,NE,27,Nebraska,31,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,836.313,NA,506.878,NA,403.994,NA,0,NA,321.579,NA,NA,NA
1970,NV,28,Nevada,32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,0,1,1,0,0,1,NA,NA,NA,NA,494.909,NA,474.667,NA,0,NA,0,NA,363.738,NA,NA,NA
1970,NH,29,New Hampshire,33,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,0,1,NA,NA,NA,NA,1075.85,NA,803.822,NA,679.846,NA,123.738,NA,799.776,NA,NA,NA
1970,NJ,30,New Jersey,34,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1,1,1,1,1,0,1,1,NA,NA,NA,NA,1247.98,NA,490.814,NA,517.239,NA,577.918,NA,379.733,NA,NA,NA
